UID,Length,WFPI_Cm_20210701,WFPI_Cm_20210702,WFPI_Cm_20210703,WFPI_Cm_20210704,WFPI_Cm_20210705,WFPI_Cm_20210706,WFPI_Cm_20210707,WFPI_Cm_20210708,WFPI_Cm_20210709,WFPI_Cm_20210710,WFPI_Cm_20210711,WFPI_Cm_20210712,WFPI_Cm_20210713,WFPI_Cm_20210714,WFPI_Cm_20210715,WFPI_Cm_20210716,WFPI_Cm_20210717,WFPI_Cm_20210718,WFPI_Cm_20210719,WFPI_Cm_20210720,WFPI_Cm_20210721,WFPI_Cm_20210722,WFPI_Cm_20210723,WFPI_Cm_20210724,WFPI_Cm_20210725,WFPI_Cm_20210726,WFPI_Cm_20210727,WFPI_Cm_20210728,WFPI_Cm_20210729,WFPI_Cm_20210730,WFPI_Cm_20210731,WFPI_Cm_20210801,WFPI_Cm_20210802,WFPI_Cm_20210803,WFPI_Cm_20210804,WFPI_Cm_20210805,WFPI_Cm_20210806,WFPI_Cm_20210807,WFPI_Cm_20210808,WFPI_Cm_20210809,WFPI_Cm_20210810,WFPI_Cm_20210811,WFPI_Cm_20210812,WFPI_Cm_20210813,WFPI_Cm_20210814,WFPI_Cm_20210815,WFPI_Cm_20210816,WFPI_Cm_20210817,WFPI_Cm_20210818,WFPI_Cm_20210819,WFPI_Cm_20210820,WFPI_Cm_20210821,WFPI_Cm_20210822,WFPI_Cm_20210823,WFPI_Cm_20210824,WFPI_Cm_20210825,WFPI_Cm_20210826,WFPI_Cm_20210827,WFPI_Cm_20210828,WFPI_Cm_20210829,WFPI_Cm_20210830,WFPI_Cm_20210831
B23,25.0217047,164.6782343705434,179.23922501193275,156.93863380420072,164.6782343705434,172.8814169260625,170.91720284515003,177.73508047319228,166.06353929802026,172.8814169260625,164.79197768084617,177.73508047319228,176.11719262414903,178.0814067050615,71.53339158977269,168.37407961080194,168.37407961080194,166.40986552988946,155.08465058658663,148.6130991904136,145.9562326457627,154.045671890979,156.00988597189146,152.42778404193575,110.36269996681096,97.07544359022725,1.617924059837121,146.30255887763192,151.1562224247617,138.2131196324156,136.59523178337236,131.74156823624256,133.3594560852858,138.67318917458763,156.46995551406349,166.86993507206148,184.66670141153736,184.66670141153736,176.57726216632105,181.43092571345085,173.22774315793174,148.6130991904136,96.14803555729083,143.7594356432838,135.3236701661983,143.7594356432838,146.99521134137035,153.12043650567415,167.68142714706352,162.82776359993375,156.7025384356299,166.40986552988946,182.58874402032208,184.20663186936534,183.5139794056269,191.6034186508432,178.66031585849714,181.54976532471443,181.54976532471443,178.66031585849714,162.13511113619532,163.17408983180295,148.26677295854438
B24,11.72514086,291.84296219673445,287.9287056564025,278.76262943867005,291.03159345378504,310.1244410058979,310.0962726264743,325.92405434164095,304.6578393316171,309.3130722629485,304.55600118929044,315.66143503212874,323.88910048189655,323.88910048189655,137.61160877502434,287.9198152279092,305.9123868867119,283.06746083383064,281.4447233479318,270.78263875509765,255.03755970768657,269.24260393695437,275.5909667061346,266.90705843947956,209.39186190546567,150.96125781830108,3.102856281927125,269.3994317581904,285.5094254348483,257.7992493116096,244.7891810449952,241.03336974269635,245.0743553938255,273.45627547293753,281.45554410744023,301.19758236293893,310.50624575508664,310.50624575508664,299.71743205145526,323.7573340669898,315.49925699256517,277.65377603108453,126.74692464061548,262.13933704417184,245.31357296859903,263.7462164664528,260.3581543202399,269.88321712606506,304.328325625527,290.29403695009796,282.29476831559526,271.36336743754873,329.4647707328413,308.24258216585895,324.59848860616,333.90715199830765,309.29690128511237,314.9764824857584,318.2060993939381,314.9764824857584,282.9496221515267,299.5327487650137,265.7123953910443
B25-1,37.04254568,3783.1599895193926,3817.073322257829,3443.6939348743003,3440.515606911851,3749.260280886794,3975.978587693403,4102.261490178119,3833.553818926675,3704.4441043660263,3598.2461099541174,3862.4180573142316,3903.2344871746636,3758.281215834394,2647.074228099048,3684.118672046329,3718.4197943536765,3676.054785253009,3135.127696064393,2965.4987050163813,2871.983582415625,2997.558515294623,3061.085885420913,3167.4821411738562,2723.0687238137643,2183.1385783664086,39.140097796994425,2885.1825343279847,3346.7368396897045,3110.4319244395274,1476.379761304625,1718.5572948622203,2829.124577181371,3126.6180507193817,3528.200012218602,3681.980622432345,4059.695787760541,4206.277088653844,3957.6267914226373,4220.166369149763,3796.458679863849,3263.6288460872584,2379.448110593728,2992.8841018181256,3183.30181080843,2675.678535731081,3083.0257110054044,3161.531854314444,3407.0462239013723,3522.2620278196605,3415.0415762841185,3243.576572908905,3810.1761619027743,3897.67367188588,3743.759498150734,3808.8309927991518,3537.5612071167548,3649.001459491008,3831.928886775959,3595.3069054543685,3467.997940938092,3539.747770471945,2458.3456115475774
B25-2,37.04254568,3783.1599895193926,3817.073322257829,3443.6939348743003,3440.515606911851,3749.260280886794,3975.978587693403,4102.261490178119,3833.5538189266745,3704.444104366027,3598.2461099541174,3862.4180573142316,3903.234487174663,3758.281215834394,2647.074228099048,3684.118672046329,3718.4197943536765,3676.054785253009,3135.127696064393,2965.4987050163813,2871.983582415625,2997.558515294623,3061.085885420913,3167.4821411738562,2723.0687238137643,2183.1385783664086,39.140097796994425,2885.1825343279847,3346.736839689704,3110.4319244395283,1476.379761304625,1718.5572948622203,2829.124577181371,3126.6180507193817,3528.200012218602,3681.980622432345,4059.695787760541,4206.277088653844,3957.6267914226373,4220.166369149763,3796.458679863849,3263.6288460872584,2379.448110593728,2992.8841018181256,3183.30181080843,2675.678535731081,3083.0257110054044,3161.531854314444,3407.0462239013723,3522.2620278196605,3415.0415762841185,3243.576572908905,3810.1761619027743,3897.67367188588,3743.759498150734,3808.830992799152,3537.5612071167548,3649.001459491008,3831.928886775959,3595.3069054543685,3467.9979409380926,3539.747770471945,2458.3456115475774
B26,37.64092414,3681.7586884022976,3671.695014516541,3432.8625521490794,3563.6285294959453,4034.0417893450935,4189.304796024491,4323.428987209332,4034.512461654721,3868.2201282926353,3917.357088868726,4038.9961991407486,4128.719803032752,3874.8439122703603,41.03015723672595,3818.508608691366,3764.2216716864573,3395.6879788948104,3181.6920509137813,3027.3093900809645,2888.049976605799,3029.2538099196436,2802.351064355315,3167.5427914272705,2757.1216663922364,414.46367774204214,41.03015723672595,3066.6031429892955,3535.4904981991517,3216.6156736279363,1028.4118964848874,2411.489591062692,2483.4592199569065,3277.2985367131955,3615.4908586266374,3847.519386803825,4136.821856854522,4195.164066561175,3984.07129070059,4161.3573753056535,3494.528023398975,1962.0362152531122,41.03015723672595,2569.2240775218256,2570.5714268027227,2757.582935827575,2832.8527071521926,2854.619545464238,3245.8421156310187,3044.359255605124,2976.972087874014,2944.0129164607188,3631.2096820981933,3775.365987194392,3446.967672852124,3457.6542656885167,3166.057062670603,3221.8592478581195,3346.762628831142,3138.7348839299566,3072.826869177858,3011.2811330062987,1856.1021649689267
B27,16.11217166,289.60734089618893,289.60734089618893,278.81561738772217,261.8399303255606,280.1217185159869,296.9088491274252,304.7182271531704,288.3554066081896,296.9088491274252,259.8439315440708,291.88817364512886,283.24420172258675,283.24420172258675,179.94773483780742,283.24420172258675,277.8616368711363,275.01048944686283,252.9453906801272,242.22242051356042,231.96543674201075,242.2643177122972,255.77599075086619,238.73155067535785,194.53887459678577,191.68772709037387,2.851170170347023,231.60379218014015,260.0107039659669,247.92449473834546,212.28526224680758,203.4120715430544,232.24329421672218,237.34797732780152,270.8176829112536,270.8176829112536,303.96763406767263,307.82015553164496,291.45733498666414,317.47930710624166,306.39447150762715,248.32825728699163,98.34392387227244,234.81658424842266,242.62596227416788,204.87964570190985,237.37461966468675,264.3294332701018,275.7340232957493,286.0747944008734,272.8828757893374,261.47828576368994,294.947991347142,309.2037288792014,306.11051970667194,311.06875022600525,289.32338909523367,306.4302741337049,311.8128147194957,286.4722415888218,277.9187990695862,296.1163659070898,235.19900418004238
B28,17.75247402,1407.5385340125224,1430.0509167239825,1229.9790986501412,1278.668765759263,1370.901489399294,1450.7615770086882,1499.2379667825323,1414.5260516341482,1382.6967274777048,1321.390657757448,1409.1947916853296,1386.0485255781364,1393.237858476111,550.5311088955805,1354.6694334821384,1338.2703311629143,1304.933039974015,1156.200313594797,1097.460088226449,1067.2612117390752,1101.513629690157,1147.4667705638997,1152.272350941565,380.7904288635759,846.2262344473725,14.517902343654207,1074.3125460452559,1223.2372496894127,1130.958458505676,695.3554476246695,848.993528409388,1038.418855373469,1118.641145964853,1263.8231331756863,1328.2879958375745,1473.7434916726918,1499.2767573850542,1418.17994574859,1572.5283283563283,1454.4344852088686,1226.4543733624043,984.9666392984814,1127.3143852852186,1134.211753040789,1107.092944100486,1124.317864916787,1235.0750871518023,1330.5800494288032,1362.8852654643954,1322.043642338953,1255.6721082915983,1442.563874729429,1496.4019399688652,1464.3159311177055,1490.091254852729,1386.6800462002934,1422.8367149678397,1500.3683417553527,1462.8015594382402,1354.4321315001246,1357.1735151150403,1158.407352781455
B29,9.073933322,534.88747910477,537.8867931658078,465.9564203052788,478.1653857369398,542.8084121815464,574.4522634482632,582.1576387724654,543.9753220870674,522.2659088573291,494.9766686855854,543.5863521185604,512.8120929936798,500.06856284325465,452.8136924937683,497.5744633896714,491.8468558272872,475.5863034079663,408.82212959170187,386.34203284701493,389.7204100793848,423.23774350993926,433.9749135936426,445.47808984317885,400.23515216429735,304.494578429301,5.29375166618186,362.9586607579986,446.25935499026855,407.60272999047487,323.8734930380406,274.68543745564136,367.68995872675634,433.56485710388836,498.8498464570408,507.2299567265384,556.8954644470424,539.9598326806095,547.8183243215757,578.0253088356666,532.4525917750669,437.40985774491463,317.64822121879695,376.9575699326003,434.29809799685864,301.4186679252311,416.76865226870444,432.78608623139087,438.2396235260779,488.93273153888316,479.67557416303794,435.9763413816636,525.9887488430159,541.8699142143337,542.2187949861459,561.3091921385344,527.3257159462337,526.4545916409161,568.8245175576866,527.3257159462337,515.434238271807,486.40517698160835,367.24651376991505
B30,88.18865947,3582.866225916499,3704.2872009348325,3440.1225575282374,3509.0562695392146,3822.51776424,3942.7270624870257,3968.301798823854,3910.4912540604805,3731.343647540536,3660.4978280707896,3861.8383803766815,3871.9157772232306,3718.710099969315,3234.5473268784503,3708.8398314438023,3827.1540778544795,3691.3509934860053,3125.1643049852623,2272.5939006092335,2950.776990971151,3261.65744583643,2607.119450152416,3155.1530849962355,2278.337003121938,2536.407923109608,38.47243580352863,2873.078168961651,3309.723648839948,3094.9870350117912,567.9663540392293,1722.661643868112,2738.455017082414,2893.2393162751882,3162.746706871466,3435.3668309332434,3884.326454320205,4059.3269144356004,3776.638051977687,4103.915052241534,3830.1577647925265,3125.5136326102097,3087.074445758289,3031.3005100209293,3103.2747733699757,2956.441986871595,3078.9572760384517,3257.148956945557,3569.98094925114,3688.417590843648,3319.7246111043783,3277.1365721360494,3904.16845211416,3873.812480221238,3632.607327981739,3771.558828841592,3555.9226773233927,3675.5385193915663,3609.6134833728356,3490.393353069537,3387.8929341571015,3537.901195258861,2705.871426657063
B31-1,15.45737236,2254.12942287192,2256.9361533065216,2024.5957541437244,2045.6649307612126,2215.486659501729,2357.1567086295636,2407.0860734884777,2270.518122026536,2186.6308876822886,2137.3620060603757,2224.7073234726536,2338.682802510071,2134.94748007723,1972.6251249631443,2115.4396648787733,2149.6412300768334,2134.7296264621045,1751.3205801555018,1624.390086290382,1629.9683846240791,1780.5358107234017,1767.1875549845977,1898.5125215426121,1720.149180506733,1323.3202051216458,23.525709361596682,1622.1142375226755,1968.9950503167763,1812.3452043158031,618.1670710309972,804.1785815603533,1678.8615054312277,1859.1301126635424,2005.7965851256747,2106.213890938259,2333.1042193916946,2402.2721542296485,2304.2995449712225,2470.102645392336,2202.7521703588845,1901.2040822765116,1507.136434759046,1641.23369371657,1852.2707869231006,1669.4005229456247,1781.154271541158,1813.9177545840885,1873.111763978317,2017.148479599155,1898.2119819279255,1868.4457652917852,2190.9440567891284,2296.0866202851007,2294.427298344455,2312.4333853897465,2182.513588990829,2204.176547949363,2361.929536628542,2191.7192913743247,2110.7621403984617,2033.8136384560528,1117.384294515134
B31-2,15.45737236,2254.12942287192,2256.9361533065216,2024.5957541437244,2045.6649307612126,2215.486659501729,2357.1567086295636,2407.0860734884777,2270.518122026536,2186.6308876822886,2137.3620060603757,2224.7073234726536,2338.682802510071,2134.94748007723,1972.6251249631443,2115.4396648787733,2149.6412300768334,2134.729626462105,1751.3205801555018,1624.390086290382,1629.9683846240791,1780.5358107234017,1767.1875549845977,1898.5125215426121,1720.149180506733,1323.3202051216456,23.525709361596682,1622.1142375226755,1968.9950503167765,1812.3452043158031,618.1670710309972,804.1785815603533,1678.8615054312277,1859.1301126635424,2005.7965851256747,2106.213890938259,2333.1042193916946,2402.2721542296485,2304.2995449712225,2470.102645392336,2202.7521703588845,1901.2040822765116,1507.136434759046,1641.23369371657,1852.2707869231006,1669.4005229456245,1781.1542715411576,1813.9177545840885,1873.111763978317,2017.148479599155,1898.2119819279255,1868.4457652917852,2190.9440567891284,2296.0866202851007,2294.427298344455,2312.4333853897465,2182.513588990829,2204.176547949363,2361.929536628542,2191.7192913743247,2110.7621403984613,2033.8136384560528,1117.384294515134
B32-1,30.65509776,1912.4086065818738,1911.2015807114085,1837.3176836736168,1783.9052119324986,1935.5704903493152,2005.85332321957,2056.2629374376816,1984.482147670067,1959.1703602314467,1874.9073095811564,1966.5003087726925,1869.1603168808797,1702.5290890942367,1627.1215353857376,1715.2133513949711,1810.4572836587959,1723.050693662394,1410.5144993062365,1120.50317116964,1345.8587157366076,1410.7712522199597,1171.323009453955,1468.9051675889414,1222.661127315207,1139.314213303333,19.938853455831072,1298.2333753011542,1613.9447625764235,1420.124434962017,19.938853604474065,756.331906421758,1338.7560576996264,1414.728647879439,1525.337731912463,1647.5489039234299,1874.0732094974428,2008.2514098488814,1824.4050260256843,1988.0969349441789,1595.9244457899626,1417.9818527711395,1345.4223148988642,1207.266377741772,1314.8924029009343,1308.2396574305196,1354.3908170643092,1457.7588202019842,1564.9492152249406,1602.157193180284,1458.4104323524973,1384.4865891629436,1737.619923099292,1740.7934294437391,1620.0127197173415,1669.2927072851214,1565.4963382817562,1618.2585608299407,1610.0129750296949,1529.876512915083,1472.7781927621602,1532.3168910256836,1123.9082797250883
B32-2,30.65509776,1912.4086065818738,1911.2015807114085,1837.3176836736168,1783.9052119324986,1935.5704903493152,2005.85332321957,2056.2629374376816,1984.482147670067,1959.1703602314467,1874.9073095811564,1966.5003087726925,1869.1603168808797,1702.5290890942367,1627.1215353857376,1715.2133513949711,1810.4572836587959,1723.050693662394,1410.5144993062365,1120.50317116964,1345.8587157366076,1410.7712522199597,1171.323009453955,1468.9051675889414,1222.661127315207,1139.314213303333,19.938853455831072,1298.2333753011542,1613.9447625764235,1420.124434962017,19.938853604474065,756.331906421758,1338.7560576996264,1414.728647879439,1525.337731912463,1647.5489039234299,1874.0732094974428,2008.2514098488814,1824.4050260256843,1988.0969349441789,1595.9244457899626,1417.9818527711395,1345.4223148988642,1207.266377741772,1314.8924029009343,1308.2396574305196,1354.3908170643092,1457.7588202019842,1564.9492152249406,1602.157193180284,1458.4104323524973,1384.4865891629436,1737.619923099292,1740.7934294437391,1620.0127197173415,1669.2927072851214,1565.4963382817562,1618.2585608299407,1610.0129750296949,1529.876512915083,1472.7781927621602,1532.3168910256836,1123.9082797250883
B33-1,13.24875634,604.961039297452,615.2418869627285,603.2456208950239,597.3859945378225,595.6559205315706,578.9797688859123,589.4365631576695,572.2941666492226,540.6429606206789,550.5482279368106,570.8674022732298,601.1044390329694,544.7830159551476,552.830000119303,584.250648959834,621.170349002247,540.7037870472573,440.11134342718765,442.70475230806693,446.49635149738845,500.2962869726276,330.77948228571546,486.542278963896,452.68608765590955,414.6335278341249,6.189760425685838,396.41950539710183,460.89880770059995,424.09429597148267,6.189760425685838,223.93508035403835,414.07512696501425,372.0883441379165,385.5654819624403,419.75947625090953,476.79388254610353,513.9024791204539,470.16180044920736,507.3826280384678,508.4262998970923,472.5913805339213,417.4965678377707,399.07234035318567,415.41961501919076,413.30910776855995,419.35792136986436,443.07999530054906,507.112918792447,515.8655579558365,463.3206649157011,448.500570424563,553.261701155147,507.8282905643537,471.58693015769785,494.85666532797256,455.02437506353846,493.6900214207353,476.7594196789664,470.09768180619835,428.4376700676885,476.30214771243914,381.31505485538935
