OBJECTID,Length,WFPI_Cm_20210701,WFPI_Cm_20210702,WFPI_Cm_20210703,WFPI_Cm_20210704,WFPI_Cm_20210705,WFPI_Cm_20210706,WFPI_Cm_20210707,WFPI_Cm_20210708,WFPI_Cm_20210709,WFPI_Cm_20210710,WFPI_Cm_20210711,WFPI_Cm_20210712,WFPI_Cm_20210713,WFPI_Cm_20210714,WFPI_Cm_20210715,WFPI_Cm_20210716,WFPI_Cm_20210717,WFPI_Cm_20210718,WFPI_Cm_20210719,WFPI_Cm_20210720,WFPI_Cm_20210721,WFPI_Cm_20210722,WFPI_Cm_20210723,WFPI_Cm_20210724,WFPI_Cm_20210725,WFPI_Cm_20210726,WFPI_Cm_20210727,WFPI_Cm_20210728,WFPI_Cm_20210729,WFPI_Cm_20210730,WFPI_Cm_20210731,WFPI_Cm_20210801,WFPI_Cm_20210802,WFPI_Cm_20210803,WFPI_Cm_20210804,WFPI_Cm_20210805,WFPI_Cm_20210806,WFPI_Cm_20210807,WFPI_Cm_20210808,WFPI_Cm_20210809,WFPI_Cm_20210810,WFPI_Cm_20210811,WFPI_Cm_20210812,WFPI_Cm_20210813,WFPI_Cm_20210814,WFPI_Cm_20210815,WFPI_Cm_20210816,WFPI_Cm_20210817,WFPI_Cm_20210818,WFPI_Cm_20210819,WFPI_Cm_20210820,WFPI_Cm_20210821,WFPI_Cm_20210822,WFPI_Cm_20210823,WFPI_Cm_20210824,WFPI_Cm_20210825,WFPI_Cm_20210826,WFPI_Cm_20210827,WFPI_Cm_20210828,WFPI_Cm_20210829,WFPI_Cm_20210830,WFPI_Cm_20210831
2186,0.617573045,57.43626089037828,61.9540426949079,63.16933574443262,58.651553939903,117.11703549777725,127.71128254993047,124.9900622322292,123.77476918270449,123.77476918270449,122.26884191452795,126.49598950040576,98.64976171117209,83.4849766795718,1.215293049524718,43.51267173915554,83.4849766795718,82.26968363004708,76.19321838242348,48.82274668065856,50.64616151155154,64.9918000621138,21.82251871652752,66.20709311163851,1.215293049524718,0.290611383158027,0.290611383158027,61.39867708845708,75.00477867696338,55.956236453054565,1.215293049524718,42.29737868963082,50.51379581765204,51.75594221124138,57.779651283947544,60.79150582030062,63.8033603566537,68.61177637983513,62.29743308847716,68.61177637983513,64.91314105634355,60.1047250331621,43.83015930187198,47.4232822755287,36.247766786071836,53.4997475231523,42.614866252347255,99.46890819221011,91.59588145775814,80.7110001869531,79.09956056894168,90.38058840823342,107.34193492666206,113.9996686115893,99.54851771119216,97.7519562243638,87.15770917221059,95.32137012531436,93.81544285713782,92.30951558896129,93.81544285713782,55.32221184083348,27.079837483113103
2187,0.617559222,51.95211413663888,54.68819166294003,55.90348481100536,52.25760536680936,99.38857754688749,108.20112081351536,105.77053451738469,105.46504328721417,105.46504328721417,102.43014630335921,107.89562958334483,79.64506772028837,68.70075761508359,0.305491230170523,34.958025381574465,68.70075761508359,68.39526638491307,63.22860256248121,41.64547358224219,47.701924004718585,62.59093301167313,19.750181599215882,62.89642424184366,0.305491230170523,0.0,0.0,53.79173329027878,61.39565518145807,52.56976836959669,0.305491230170523,35.56233606929875,46.798793859440536,52.85524428191694,56.80661495628347,59.23720125241413,61.66778754854481,67.13327082853044,60.45249440047947,66.22346891063562,55.90348481100536,49.52819961312497,37.97957882019591,41.31996703422136,31.597621849698683,47.396432774548025,37.67408759002535,92.07680334064521,85.69484637014801,76.88230310352014,73.23642365932415,84.47955322208267,97.54895839324759,103.62542413357427,71.74899814417206,70.53370499610674,63.54076556526849,69.01292061787086,67.79762746980553,66.5823343217402,66.88782555191072,55.90348481100536,27.95174240550268
2188,0.61754535,57.62709716112469,60.95259926542567,61.272976309703935,57.62709716112469,112.05042387946672,122.34730723664791,119.02180513234694,119.02180513234694,119.91672113759508,115.3759259837677,122.34730723664791,81.54636597978805,70.03418957308044,0.894916005248148,24.43829124570158,70.03418957308044,70.03418957308044,65.17301737497479,43.04358056680772,54.55575697351533,71.82402158357674,40.02775691313003,72.71893758882489,0.894916005248148,0.894916005248148,0.894916005248148,68.94062818507234,76.80692544320071,68.94062818507234,0.894916005248148,43.55190440019095,60.17941492169583,52.00343921294419,55.64931836152343,57.18498845532811,60.51049055962908,65.692039802013,59.29519751010267,64.47674675248659,54.113648267718744,46.821889970560264,36.779168530070685,40.42504767864993,30.702703282438616,45.60659692103385,36.779168530070685,99.455384678406,92.48400342552577,83.08203607359273,78.54124091976534,92.16362638124751,105.21147288175979,112.18285413464002,63.195238575373324,62.87486153109526,55.903480278214865,60.7646524763205,59.54935942679409,58.33406637726768,59.22898238251602,54.113648267718744,22.582244107618635
2189,0.617531576,50.74934972472564,54.39522916892164,54.39522916892164,50.74934972472564,119.97873584902656,128.27635216574308,126.39048739879473,127.27049473741856,126.72577320823623,122.74460795459873,129.1563595043669,79.79051164628794,69.39758307172976,1.215293148065334,20.115273759080868,69.39758307172976,67.6375801656346,64.53641047946842,42.32584211927464,37.758745992024096,50.708134494718664,31.556406619691714,51.04342618973642,0.335291695017761,0.335291695017761,1.215293148065334,65.66815919652741,77.69521704517504,65.66815919652741,1.215293148065334,43.87642696235773,56.8258154650523,44.00230059436345,49.4081829446546,51.5034775457675,54.26935553691593,58.250526676129695,53.054062388850596,57.91523498111193,51.71289560877955,45.30113817343512,35.57879298891245,35.70466662091816,28.622325795538202,41.44584066622707,34.69879153586488,79.53987835326893,77.52812818316235,69.56578590473484,66.46461621856864,76.64812673011478,88.25634845273831,93.78810443503517,70.23525532377795,70.23525532377795,62.94349643538595,67.8046690276473,66.58937587958195,65.37408273151662,63.06937006739166,49.07289124963684,19.779982064063105
2190,0.617517751,56.91206950033797,60.55794894453865,60.55794894453865,56.91206950033797,120.3140216586222,127.60578054702354,126.39048739895665,127.60578054702354,126.39048739895665,122.74460795475598,128.82107369509043,90.75462973863908,79.30216878578953,1.215293148066891,22.90492190569907,79.30216878578953,76.87158248965575,73.57593830936477,48.24043010753192,30.38232870167227,41.31996703427429,25.52115610940471,41.31996703427429,0.0,0.0,1.215293148066891,71.49558727714069,86.5939276741909,71.49558727714069,1.215293148066891,49.45572325559881,61.25841947235804,48.24043010753192,56.047011616180775,57.612540028157355,60.90818420844835,65.41912153680622,59.69289106038145,65.41912153680622,55.367601639595456,48.4260780151038,37.838674946411466,36.623381798344575,30.546916058010112,43.56490542283623,36.623381798344575,90.38333392349531,89.51827603933812,80.49640138262237,77.20075720233137,89.16804077542842,102.70085276050204,109.29214112108401,89.35368868300031,88.4886307988431,79.46675614212735,86.05804450270932,83.97769347048522,82.76240032241833,78.25146299406046,47.39643277460875,19.444690369070255
2191,0.617503877,81.16670200698134,86.51275194978427,86.51275194978427,82.01678740409572,115.21349952026095,121.65517242029486,120.43987937077016,121.65517242029486,120.43987937077016,116.79400022219599,122.8704654698196,105.35909028071117,91.50598899123517,1.215293049524718,26.856117181837565,92.35607438834957,89.07540289218575,85.42952374361158,56.14282046272457,55.03480275443528,72.77312337707288,45.073118173650066,73.62320877418726,0.850152982688728,0.850152982688728,1.215293049524718,75.34816907053252,91.99706411146839,75.34816907053252,1.215293049524718,52.25760112956288,64.41053162481006,61.243332845410904,71.45055498631272,73.51593343295184,77.161812581526,83.72315557385366,75.94651953200128,82.87307017673926,80.07107904975034,69.37897916414447,55.04100012996443,53.82570708043971,44.34890024435856,62.817636171816815,53.82570708043971,96.73856621727354,95.52327316774881,86.65101416866545,83.00513502009129,95.52327316774881,109.25670436493107,116.54846266207939,102.80883408936799,101.59354103984327,91.02111124653112,98.31286954367944,96.7323688417444,95.51707579221966,89.8058181970064,60.99779528529431,24.545201175081854
2192,0.617490101,88.66275617609568,95.00222452534247,92.06311956357882,89.04296523370282,115.0936623512026,122.26821479090901,122.15100834221488,121.2622806189776,121.88800573330187,117.14403958972898,124.84459724726139,115.14327440519504,97.26549653027607,1.215293148066757,27.254887106237646,98.48078967834283,93.56597345329814,87.72392061035261,58.03844720798144,57.50537040961174,75.13409643754174,47.2395334550558,72.17396913331038,1.215293148066757,1.215293148066757,1.215293148066757,76.41364058920169,95.00576031561431,76.41364058920169,1.215293148066757,53.75692346631807,65.95593121070627,65.88883260451793,79.5025732899694,82.45916480392893,87.20313094750183,93.13380052761676,85.41575631788845,93.75952564194101,86.14404893130612,76.10859329535319,58.02145644429892,57.378244777778775,45.960677491072566,66.00250326294021,57.378244777778775,97.50747679672136,94.23423904107118,86.20711595870927,81.46314981513636,96.2921836486546,111.81050541241358,120.46335360909967,113.63403712260873,112.15574136562898,99.64008737955014,106.45191731384529,106.24255833770994,105.02726518964317,97.32670753211075,68.68214140606271,27.525457084207687
2193,0.617476226,60.923248659096046,66.57489616658555,58.097424905351296,60.923248659096046,92.97526951685504,99.84221017240986,101.87755901092646,94.19056266492038,99.84221017240986,95.4058558129857,104.7033827646712,104.48562995839572,83.43040898367094,1.215293148065334,19.444690369045343,84.64570213173627,73.31282634153419,64.80577430507684,42.93049763990081,33.11941012970883,45.24276083513908,28.683055770284668,41.201643933329,1.215293148065334,0.395204675765183,1.215293148065334,50.469590109791405,70.67517461884182,50.469590109791405,1.215293148065334,38.771057637198325,46.03323575036724,47.979842263214536,62.899435947166445,66.94055284897652,71.3769072084007,73.38267527169418,70.16161406033535,79.03432277918368,68.15584599704187,54.84678291876937,43.14825044617629,42.75301298856222,31.054480515969146,47.58460480560046,42.75301298856222,81.70155527709913,69.97344202928296,66.32756258508695,61.07115253521154,80.4862621290338,98.68607857479073,107.98360552647624,96.86848254254963,95.25795193687021,81.12883316814646,82.73936377382589,87.99577382370131,86.78048067563597,78.30300941440171,58.12700568057439,23.821883178023327
2194,0.617462435,66.33730214005163,72.80847371288806,67.12671479046035,66.33730214005163,101.17050721415659,108.05197214915404,111.28755793557224,106.41079870050993,109.6619715238848,103.60109331320942,113.71814403462508,75.92991983932205,60.904935808930716,1.21529304952641,17.83468941769184,61.315229171091744,57.62258891164248,47.50553819022683,31.265261110309076,26.752034126537758,47.34966782066009,29.546307669736024,46.92378742154238,1.21529304952641,0.805030725936266,1.21529304952641,37.31055228402779,52.319949277462456,41.33555072085471,1.21529304952641,28.393207575181876,30.44467438598702,40.49937695957598,53.457307142205494,56.29818660341935,59.94406575199859,65.18435723835192,58.72877270247218,66.82553068699605,58.31847934031115,51.40584033140035,36.04849812363136,40.07349656045828,29.54615247688159,40.49937695957598,36.04849812363136,66.09846618441402,61.60082623759938,53.12494896482784,49.06877645408757,64.88317313488761,80.28727645352663,87.98932811284612,76.19992986887301,74.9846368193466,64.44170569881324,69.68199718516657,70.51817094644531,69.30287789691889,62.81611928712579,56.267012529506005,21.464981529314404
2195,0.617448621,90.72109383252571,99.59268241620728,93.94159497630116,90.72109383252571,108.58646847823537,116.66814221427205,120.31402165846806,116.66814221427205,118.30881366275807,111.80696962201073,121.95469310695407,97.52611869534695,77.47403873824587,1.215293148065334,26.49308224465199,77.47403873824587,77.47403873824587,60.21708162449965,39.73962336697799,34.21021943346456,69.2103537145739,43.446344564370335,70.42564686263923,1.215293148065334,1.215293148065334,1.215293148065334,52.19624964165921,71.88379305153609,60.64245992492021,1.215293148065334,39.73962336697799,39.73962336697799,64.22749761591987,84.70495587344153,88.71537186486175,93.9410810043473,105.97232897860796,92.72578785628197,105.1824141309632,88.7762136180581,82.3352113305072,55.41675078543466,63.862961068695654,47.39591880259421,62.64766792063031,55.41675078543466,80.51252859438613,78.50732059867602,65.19993772315368,60.764143431312895,79.2972354463208,98.62024230897346,108.28174574029981,112.41333126615885,111.1980381180935,95.15637415241264,106.39770727902852,105.1824141309632,102.3872912876083,93.9410810043473,87.98629877041333,32.93408453220288
2196,0.617434744,72.53600226577794,79.15914348537562,74.63227982605193,72.53600226577794,89.5658623481051,95.7485113123282,99.39439046090277,95.7485113123282,97.73860515600335,91.66213990837909,100.60968351042763,94.97371051817791,75.31665429258257,1.215293049524853,25.3992129344439,75.31665429258257,75.31665429258257,58.53067642141149,38.873620195816144,31.14136964329245,63.498032336109745,40.529405500715555,65.4881261797849,1.215293049524853,1.215293049524853,1.215293049524853,52.682335995964095,71.89889996618489,60.855078803862355,1.215293049524853,39.648420989966425,39.648420989966425,57.96824306045889,76.07569769775367,80.1620691017028,84.68893276102649,96.17324617872359,84.24844050565193,94.95795312919873,82.82078002292938,77.07862331408083,51.679410379636934,59.0773523933849,44.28146836588897,58.636860138010334,51.679410379636934,77.20056441965886,75.54477911475945,62.51086410876177,58.42449270481265,75.98527137013402,93.98654229082995,103.37457814825305,105.01460606417328,103.79931301464842,88.22862819300221,99.27244935532474,98.05715630579988,95.18607795137561,87.01333514347735,77.73148300265308,28.816967260841587
2197,0.617420964,68.51364529670941,74.89413353398602,70.48859626728095,73.07159223173815,80.51337026934878,86.89385850662539,92.81871141834003,86.1342006841206,87.04547133524453,87.04626817494906,90.99537327638762,97.07343269613047,82.33830209071024,1.215293148066757,25.67356577772557,77.02069733317671,77.02069733317671,65.47581084639478,40.10547072590751,33.57336966001176,59.2461385980328,37.52247476145032,59.39775142665194,1.215293148066757,1.215293148066757,1.215293148066757,54.99301099965142,67.44916813755728,57.72682295302322,1.215293148066757,36.762816938945534,42.08042169647905,53.47369535464183,66.53789748643334,73.98206604315756,77.62794548735782,82.79234373686315,73.0699985523291,81.5770505887964,79.60289645792938,69.42411910812882,46.789184620422404,57.42359729578493,42.99169234760299,57.42359729578493,46.789184620422404,73.82965637483387,68.81607411424318,62.740405213613926,58.334867946908865,68.81607411424318,85.37454286161581,93.88159489808311,81.11982158382537,79.14487061325383,71.85390856455781,77.01830681406314,75.04335584349158,72.61276954735807,69.87895759398627,69.27250627950968,25.36954328078275
2198,0.617407135,66.41434655679468,73.70610544518668,68.84493285292535,73.70610544518668,74.72426945293535,81.27154262272268,87.07433007390536,80.05624947465736,80.05624947465736,82.9576432002487,84.17293634831402,101.26358957005604,88.63985065994203,1.215293148065334,27.207256686898013,80.13279862348469,80.13279862348469,71.1549391575667,41.51709617453801,33.951658997002006,56.024064802494685,35.16695214506734,54.80877165442935,1.215293148065334,1.215293148065334,1.215293148065334,50.615535631945335,58.84890937925867,50.615535631945335,1.215293148065334,31.718201841187998,39.480768159040665,52.65186364744268,64.06030940949135,73.03816887540935,76.68404831960535,78.37014889713136,69.39228943121336,77.8993414676707,75.39220602271268,63.51295283120334,43.40032589238068,55.27957908389001,40.96973959625001,54.53509336528535,43.40032589238068,73.58552545369736,67.03825228391003,64.60766598777937,59.74649339551802,67.03825228391003,84.0523563568247,91.81492267467738,74.33001117230204,71.1549391575667,68.25354543197537,69.93964600950136,68.25354543197537,65.82295913584468,65.82295913584468,65.47273169787334,24.50299210162334
2199,0.617393256,81.1846143747609,83.37138188241418,80.69806290412699,84.8299506502362,83.61411479569128,90.41986434212757,96.01032085605878,88.4752869257115,87.0167181578895,90.9058729907216,97.2261567106037,107.91943262375253,89.93222722741393,1.215293032505054,16.52630905996691,85.80088230334458,74.1323321607685,59.79100586194508,46.66822952786586,36.70260953250846,61.009013004649425,27.70792119025945,64.1694262756104,1.215293032505054,1.215293032505054,1.215293032505054,57.363676729174124,72.6775631472255,61.739383032640156,1.215293032505054,35.97386797063732,49.09990123695569,58.578426939639314,76.07962368738386,79.4816842275422,86.0447008607014,87.98927827711745,82.3993645852261,87.25999389320644,84.58667491491924,65.62690939935268,53.96107336697591,66.35727942734341,47.154780998499774,60.03699570746133,53.23178898306491,77.53656398908629,75.10652074611605,68.3002283776399,67.8147625510857,75.10652074611605,95.03776073683082,95.76595947666212,79.48114140550234,75.83526230798718,71.94610747515506,74.61996927548213,76.32181377862109,69.51552141014496,70.24480579405596,74.62105491956184,27.466273921062076
