OBJECTID,Length,WFPI_Cm_20210701,WFPI_Cm_20210702,WFPI_Cm_20210703,WFPI_Cm_20210704,WFPI_Cm_20210705,WFPI_Cm_20210706,WFPI_Cm_20210707,WFPI_Cm_20210708,WFPI_Cm_20210709,WFPI_Cm_20210710,WFPI_Cm_20210711,WFPI_Cm_20210712,WFPI_Cm_20210713,WFPI_Cm_20210714,WFPI_Cm_20210715,WFPI_Cm_20210716,WFPI_Cm_20210717,WFPI_Cm_20210718,WFPI_Cm_20210719,WFPI_Cm_20210720,WFPI_Cm_20210721,WFPI_Cm_20210722,WFPI_Cm_20210723,WFPI_Cm_20210724,WFPI_Cm_20210725,WFPI_Cm_20210726,WFPI_Cm_20210727,WFPI_Cm_20210728,WFPI_Cm_20210729,WFPI_Cm_20210730,WFPI_Cm_20210731,WFPI_Cm_20210801,WFPI_Cm_20210802,WFPI_Cm_20210803,WFPI_Cm_20210804,WFPI_Cm_20210805,WFPI_Cm_20210806,WFPI_Cm_20210807,WFPI_Cm_20210808,WFPI_Cm_20210809,WFPI_Cm_20210810,WFPI_Cm_20210811,WFPI_Cm_20210812,WFPI_Cm_20210813,WFPI_Cm_20210814,WFPI_Cm_20210815,WFPI_Cm_20210816,WFPI_Cm_20210817,WFPI_Cm_20210818,WFPI_Cm_20210819,WFPI_Cm_20210820,WFPI_Cm_20210821,WFPI_Cm_20210822,WFPI_Cm_20210823,WFPI_Cm_20210824,WFPI_Cm_20210825,WFPI_Cm_20210826,WFPI_Cm_20210827,WFPI_Cm_20210828,WFPI_Cm_20210829,WFPI_Cm_20210830,WFPI_Cm_20210831
284,6.68426779,77.89140107313264,76.26866355077571,76.26866355077571,77.08003231195417,78.70276983431111,82.75961364020343,87.62782620727423,82.75961364020343,77.89140107313264,79.51413859548957,81.94824487902497,87.62782620727423,87.62782620727423,43.00254434245865,79.51413859548957,85.19371992373883,77.89140107313264,76.26866355077571,73.83455726724031,68.96634470016953,72.21181974488339,76.26866355077571,73.02318850606186,68.15497593899106,46.248019387172505,0.811368761178465,69.77771346134799,79.51413859548957,67.3436071778126,58.41855080484948,62.47539461074181,63.28676337192027,73.83455726724031,75.45729478959724,81.94824487902497,84.38235116256035,84.38235116256035,82.75961364020343,84.38235116256035,86.0050886849173,77.89140107313264,21.09558779064009,73.83455726724031,66.53223841663413,72.21181974488339,66.53223841663413,74.64592602841878,84.38235116256035,79.51413859548957,77.89140107313264,73.83455726724031,91.68467001316655,86.0050886849173,89.25056372963115,91.68467001316655,80.32550735666804,86.0050886849173,86.0050886849173,86.0050886849173,75.45729478959724,83.5709824013819,73.02318850606186
285,5.040873073,213.9515410431456,211.66002224368773,202.4939470458563,213.9515410431456,231.4216494878167,227.33663771966036,238.29620588619025,221.8982050778687,231.4216494878167,225.0418654492911,233.71316828727456,236.26125117676807,236.26125117676807,94.60905546630914,208.40565637115716,220.71864541132243,205.1760396458768,205.1760396458768,196.94806237386783,186.0711970902845,197.0307652568144,199.32228405627228,193.8838514144806,141.23687276264604,104.71322858996311,2.291487596912469,199.62169953269242,205.99528946313666,190.45562433486094,186.37061256670464,178.55795824250853,181.78757496778888,199.62169953269242,205.99823010030656,219.24931706629434,226.12387346466792,226.12387346466792,216.95779826683645,239.37496043065568,229.4941468085912,199.76235615133535,105.65132651578563,188.304762154046,178.78131774409803,191.53437887932637,193.82589767878426,195.23727228811595,219.94595325139306,210.77987805356162,204.40334748594745,197.52879108757384,237.78007781629657,222.23747205085095,235.34790239819577,242.22245879656936,228.97137183058157,228.97137183058157,232.20098855586195,228.97137183058157,207.49230759258487,215.96174660531761,192.68918939862243
286,6.287654345,273.7272425034847,269.47712867257763,266.27534964664267,271.1860119932639,272.5422593269742,289.08241286402296,303.6047690051221,286.42297430696374,270.001480665189,277.4529216735954,284.7140909862775,302.35478784699046,292.7494507691856,137.4572416671232,273.5260982116997,281.21924275525697,267.7388997339268,252.81618914990327,246.38736702675578,226.81881357176712,244.03742143260936,248.31279933479408,247.10308660362654,227.24444960170416,156.8471495860265,2.776147653233815,238.20547264130485,269.38466924265646,238.93955571660064,206.26746341000037,211.08566632670036,222.39988672519144,247.74414887708667,259.41047074593314,281.07678969940105,288.04843683706383,288.04843683706383,281.7184133447757,285.9139174864406,288.246595470697,261.3175127002525,69.99058885608012,237.2886356279429,226.4672466180324,233.6359565007933,233.93806434521392,257.44828458575086,283.2911828105442,275.17240223704994,267.48559689443084,255.7394012650646,314.13720281188,298.97324054114125,289.2392246978919,296.500394010574,264.58077513298844,277.06739303858865,277.06739303858865,270.66383498671877,246.07891998139698,282.0889051688499,247.8986530857233
287,6.279749505,1200.2534340701739,1235.200446793781,1113.7516742640382,1070.8323301977312,1180.963765517659,1255.9603215784284,1293.9803361812735,1202.2563950582467,1154.088481118655,1120.4383667781674,1215.4149102882013,1198.9843509812774,1178.937288571373,867.0071650335848,1159.3238290008114,1147.4016379567736,1178.975917564006,959.7332816172856,911.0314098907246,865.882212981389,892.787771408645,936.8473833632894,989.4336960767578,882.36406606039,693.0305705494009,12.152931092737314,854.1313076797011,1002.4546888592893,950.5970844809907,401.0557562877846,390.6476655490568,867.4323142703408,923.37441817774,1050.4326546152054,1152.8830376425108,1272.3854020555484,1322.9141772599103,1221.0344864325177,1337.512686338519,1198.0398291686322,988.9247164352239,830.7705735803555,926.418535721083,980.0901524016921,767.6703687994495,944.5026450491566,928.808538137983,995.1268310063386,1075.5677009633587,1042.953213864296,974.819875945184,1151.3064932284838,1211.0916556091652,1138.4523920233003,1163.0491206061467,1074.249771820001,1087.7671446256577,1180.9921312808335,1074.6949217459567,1072.8539532309164,1022.2823573365343,625.2927042151712
288,6.281727711,544.2521264076324,560.7586563794213,499.9927243663526,492.1118380670943,554.1575070100638,584.0584070030219,604.7250515479066,560.6025153024011,535.4370135683181,520.5588165446256,570.7443493058365,538.4493780539802,532.7709248780048,325.21011228949664,528.0010435381481,517.7341705075465,515.0158008203031,446.33873408919055,406.2864486705904,422.1091808532962,448.3864434378985,459.8940544559196,449.73861507438414,330.4240140736619,289.1647092643549,5.759459347425755,423.4674677445312,479.3017289033258,452.8425098332861,226.0390284185317,267.8674675334622,401.0446715367134,401.59011932795437,467.8250913209146,472.88106978550735,533.5376828968916,527.9601916581825,513.2218873206019,550.4820536124588,523.8999182849304,468.9997146866942,365.8087647116705,445.16220875697013,454.04253989343135,340.4568996394376,433.95783800186564,481.15447554406245,519.1695409606843,531.2661792475386,520.9821235387451,496.3320786011494,560.5062156926609,586.9884576139755,577.3824674484329,585.413696594368,550.8454458728254,543.7286544470014,596.4820825193635,568.7910784416315,528.216528335031,549.340949057118,419.90692752590553
289,6.283704636,343.49248090777417,343.49248052156355,298.2469320785736,305.08774874676146,345.55660288795923,360.0803336043913,374.584639138977,349.2069599764926,353.7095264592108,320.1400741342033,356.2743578157655,335.2110821637126,334.30096757450605,203.24442389528798,327.49899962861605,324.768653833392,321.11829703451656,292.0708356016527,271.47111684149303,277.440299899176,281.1100822661079,301.96613828004547,281.11008245921323,189.63241946619064,188.16286582971904,3.630617427849361,277.15559754717515,308.49293148270465,296.220376400895,164.6562800228162,205.43692082495932,249.1855214549059,285.7318359862895,324.7619807707184,325.7109452408541,369.5378862756665,363.3616706047625,355.0141560419977,388.5931370378535,360.6409508255864,323.84255745945995,232.38888821822601,286.08192259153543,289.71285527064344,229.33734619620236,282.4509899124274,322.41398621816364,334.6865417827365,346.9203997068448,335.59665704781116,316.53187838719657,362.7850381661491,376.8779764047835,339.7333432426846,348.161072751492,329.05744565823716,340.8997961477477,357.2142155595835,348.3361158610098,314.9646589841997,349.8613263560506,276.72465273235986
290,6.285680113,466.44512279928847,458.6139268372948,416.76810767480754,427.37107653454854,463.10867104165453,496.1518644400316,510.25077351783995,482.6275522980403,455.54536645749175,456.8692828383545,484.5954881970017,486.31635728223625,470.4499369421534,208.61378745095033,458.0233995370932,450.4624269770473,448.91537214636617,407.190033142634,392.42376787906943,370.8524784969387,390.9954958996547,401.4167843668876,414.0796923448211,347.6291465956453,275.70471897203055,4.60406950644505,376.8084565222858,428.63309493235255,414.0687991426287,351.43508030357646,337.8661464038873,379.4256508337596,409.4195188934165,456.8799149591255,470.4736442882868,503.2835824669866,505.98880551245645,482.6004301628053,504.83089775021404,498.83869152223946,405.0683443713909,123.73966247589661,377.5591972105367,388.7202477365378,369.4944893185821,415.94724429796554,427.7002131872998,452.9324469618366,467.4360040215129,440.76048319407016,420.47858273606835,479.91447803383795,500.00418343907455,470.72452270052844,469.3094230662844,431.7101835427927,467.3934478907069,463.56818181026046,429.7194130326335,424.41847933372605,478.2160872031339,381.8532316097874
291,5.624029348,954.9895780172509,949.5306704317402,848.6591502846245,873.9265671367259,932.9314495066399,990.645211247724,1015.1158602877716,952.4374114140847,935.6622031445347,902.7866384867239,950.6748746092421,1041.91852752201,949.0726394138361,905.5414970976833,937.7452661841635,996.8336627454551,944.2904957335755,776.9786124118349,737.8986008164828,708.8805953998925,740.2412990252743,712.6487156882715,786.0169709315237,745.7746344720406,580.2285585006665,10.216872698919223,715.4142091636894,858.4696967851197,757.76357978579,126.92613798752114,305.6534048792553,709.6364797413003,858.7579985108803,968.8899033543257,978.9551317867572,1092.902789535169,1198.0038051681206,1104.0373977009465,1152.8336825135057,926.7926525105406,815.4759905709392,756.749627135634,720.3735840724315,844.2687624323783,735.0834914187798,772.2289233165193,744.0063509535977,821.8396797081675,825.8993432084766,807.263525145366,779.6747757449489,941.5267639457613,923.7381397936474,928.2275053128815,946.3972757002125,887.1175554059079,932.1450246763625,956.604849081458,903.1015457615102,881.4653814198413,857.9581165876612,506.6694429775011
292,6.287654345,273.7272425034847,269.47712867257763,266.27534964664267,271.1860119932639,272.5422593269742,289.08241286402296,303.6047690051221,286.42297430696374,270.001480665189,277.4529216735954,284.7140909862775,302.35478784699046,292.7494507691856,137.4572416671232,273.5260982116997,281.21924275525697,267.7388997339268,252.81618914990327,246.38736702675578,226.81881357176712,244.03742143260936,248.31279933479408,247.10308660362654,227.24444960170416,156.8471495860265,2.776147653233815,238.20547264130485,269.38466924265646,238.93955571660064,206.26746341000037,211.08566632670036,222.39988672519144,247.74414887708667,259.41047074593314,281.07678969940105,288.04843683706383,288.04843683706383,281.7184133447757,285.9139174864406,288.246595470697,261.3175127002525,69.99058885608012,237.2886356279429,226.4672466180324,233.6359565007933,233.93806434521392,257.44828458575086,283.2911828105442,275.17240223704994,267.48559689443084,255.7394012650646,314.13720281188,298.97324054114125,289.2392246978919,296.500394010574,264.58077513298844,277.06739303858865,277.06739303858865,270.66383498671877,246.07891998139698,282.0889051688499,247.8986530857233
293,6.279749505,1200.2534340701739,1235.200446793781,1113.7516742640382,1070.8323301977312,1180.963765517659,1255.9603215784284,1293.9803361812735,1202.2563950582467,1154.088481118655,1120.4383667781674,1215.4149102882013,1198.9843509812774,1178.937288571373,867.0071650335848,1159.3238290008114,1147.4016379567736,1178.975917564006,959.7332816172856,911.0314098907246,865.882212981389,892.787771408645,936.8473833632894,989.4336960767578,882.36406606039,693.0305705494009,12.152931092737314,854.1313076797011,1002.4546888592893,950.5970844809907,401.0557562877846,390.6476655490568,867.4323142703408,923.37441817774,1050.4326546152054,1152.8830376425108,1272.3854020555484,1322.9141772599103,1221.0344864325177,1337.512686338519,1198.0398291686322,988.9247164352239,830.7705735803555,926.418535721083,980.0901524016921,767.6703687994495,944.5026450491566,928.808538137983,995.1268310063386,1075.5677009633587,1042.953213864296,974.819875945184,1151.3064932284838,1211.0916556091652,1138.4523920233003,1163.0491206061467,1074.249771820001,1087.7671446256577,1180.9921312808335,1074.6949217459567,1072.8539532309164,1022.2823573365343,625.2927042151712
294,6.281727711,544.2521264076324,560.7586563794213,499.9927243663526,492.1118380670943,554.1575070100638,584.0584070030219,604.7250515479066,560.6025153024011,535.4370135683181,520.5588165446256,570.7443493058365,538.4493780539802,532.7709248780048,325.21011228949664,528.0010435381481,517.7341705075465,515.0158008203031,446.33873408919055,406.2864486705904,422.1091808532962,448.3864434378985,459.8940544559196,449.73861507438414,330.4240140736619,289.1647092643549,5.759459347425755,423.4674677445312,479.3017289033258,452.8425098332861,226.0390284185317,267.8674675334622,401.0446715367134,401.59011932795437,467.8250913209146,472.88106978550735,533.5376828968916,527.9601916581825,513.2218873206019,550.4820536124588,523.8999182849304,468.9997146866942,365.8087647116705,445.16220875697013,454.04253989343135,340.4568996394376,433.95783800186564,481.15447554406245,519.1695409606843,531.2661792475386,520.9821235387451,496.3320786011494,560.5062156926609,586.9884576139755,577.3824674484329,585.413696594368,550.8454458728254,543.7286544470014,596.4820825193635,568.7910784416315,528.216528335031,549.340949057118,419.90692752590553
295,6.283704636,343.49248090777417,343.49248052156355,298.2469320785736,305.08774874676146,345.55660288795923,360.0803336043913,374.584639138977,349.2069599764926,353.7095264592108,320.1400741342033,356.2743578157655,335.2110821637126,334.30096757450605,203.24442389528798,327.49899962861605,324.768653833392,321.11829703451656,292.0708356016527,271.47111684149303,277.440299899176,281.1100822661079,301.96613828004547,281.11008245921323,189.63241946619064,188.16286582971904,3.630617427849361,277.15559754717515,308.49293148270465,296.220376400895,164.6562800228162,205.43692082495932,249.1855214549059,285.7318359862895,324.7619807707184,325.7109452408541,369.5378862756665,363.3616706047625,355.0141560419977,388.5931370378535,360.6409508255864,323.84255745945995,232.38888821822601,286.08192259153543,289.71285527064344,229.33734619620236,282.4509899124274,322.41398621816364,334.6865417827365,346.9203997068448,335.59665704781116,316.53187838719657,362.7850381661491,376.8779764047835,339.7333432426846,348.161072751492,329.05744565823716,340.8997961477477,357.2142155595835,348.3361158610098,314.9646589841997,349.8613263560506,276.72465273235986
296,6.285680113,466.44512279928847,458.6139268372948,416.76810767480754,427.37107653454854,463.10867104165453,496.1518644400316,510.25077351783995,482.6275522980403,455.54536645749175,456.8692828383545,484.5954881970017,486.31635728223625,470.4499369421534,208.61378745095033,458.0233995370932,450.4624269770473,448.91537214636617,407.190033142634,392.42376787906943,370.8524784969387,390.9954958996547,401.4167843668876,414.0796923448211,347.6291465956453,275.70471897203055,4.60406950644505,376.8084565222858,428.63309493235255,414.0687991426287,351.43508030357646,337.8661464038873,379.4256508337596,409.4195188934165,456.8799149591255,470.4736442882868,503.2835824669866,505.98880551245645,482.6004301628053,504.83089775021404,498.83869152223946,405.0683443713909,123.73966247589661,377.5591972105367,388.7202477365378,369.4944893185821,415.94724429796554,427.7002131872998,452.9324469618366,467.4360040215129,440.76048319407016,420.47858273606835,479.91447803383795,500.00418343907455,470.72452270052844,469.3094230662844,431.7101835427927,467.3934478907069,463.56818181026046,429.7194130326335,424.41847933372605,478.2160872031339,381.8532316097874
297,5.624029348,954.9895780172509,949.5306704317402,848.6591502846245,873.9265671367259,932.9314495066399,990.645211247724,1015.1158602877716,952.4374114140847,935.6622031445347,902.7866384867239,950.6748746092421,1041.91852752201,949.0726394138361,905.5414970976833,937.7452661841635,996.8336627454551,944.2904957335755,776.9786124118349,737.8986008164828,708.8805953998925,740.2412990252743,712.6487156882715,786.0169709315237,745.7746344720406,580.2285585006665,10.216872698919223,715.4142091636894,858.4696967851197,757.76357978579,126.92613798752114,305.6534048792553,709.6364797413003,858.7579985108803,968.8899033543257,978.9551317867572,1092.902789535169,1198.0038051681206,1104.0373977009465,1152.8336825135057,926.7926525105406,815.4759905709392,756.749627135634,720.3735840724315,844.2687624323783,735.0834914187798,772.2289233165193,744.0063509535977,821.8396797081675,825.8993432084766,807.263525145366,779.6747757449489,941.5267639457613,923.7381397936474,928.2275053128815,946.3972757002125,887.1175554059079,932.1450246763625,956.604849081458,903.1015457615102,881.4653814198413,857.9581165876612,506.6694429775011
298,6.338093309,671.7262900442731,656.6067308912627,652.2026963425835,671.7262900442731,707.6079101368024,699.1576356235129,745.6112876683576,706.8955848771566,652.7286131978335,683.3249839410518,687.3720114778735,718.8678400547785,712.00361095086,6.50785779976108,673.4807928130165,684.5551188901419,625.9843995449877,625.9843995449877,593.445040943376,583.4337356398331,613.8688980597468,465.0967007041269,611.5770660270334,555.6537133368874,379.94138756167615,6.50785779976108,592.9439336161126,651.870514620828,567.7866537567418,541.2369320248895,532.4301012820724,581.5144195269042,632.6796134150013,652.2032071166908,711.1301903969838,729.9750007104628,719.4111613786268,702.1619367073586,752.1198874214004,715.3638389573415,651.3288738945851,6.50785779976108,596.8041029874353,557.4018230855349,593.1133269889867,614.9288592298219,631.618646271754,703.2049042852557,673.1263483722266,661.3410458314793,631.618646271754,758.0849149879582,725.1892206680438,756.8554873169376,777.6093140491937,718.1639404306846,726.7765536031835,726.7765536031835,716.2215077163961,696.6979140147065,690.3761866068168,571.1658217077693
299,6.335777154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
